NodeB_ID,Cell_Id,VS.MeanRTWP(dBm),DCH User Num,HSDPA User Num,HSDPA User Throughput (kbit/s),FACH User Num,HSUPA User Num,HSUPA User Throughput (kbit/s),PD85,FR_DROP_DL,FR_DROP_UL
290000,290012,-99.4592,7.0058,1.9111,682.9603,1.5427,3.7786,54.9669,660.58,284,318
1360000,1360011,-93.3489,29.4399,16.7406,529.287,10.743,18.3198,43.8632,819.03,200,510
860000,860016,-98.4773,23.3501,9.9076,904.1523,5.8111,14.8916,54.5605,767.93,108,1452
2120000,2120013,-96.0835,25.5556,6.671,933.4505,3.3262,11.5902,48.6837,1104.05,4085,7925
1390000,1390011,-104.423,13.2558,7.4531,1325.7655,4.8141,8.7549,85.4629,5240.75,798,360
2230000,2230011,-98.0819,11.3884,5.2491,1495.7194,3.0623,7.1014,83.6348,379.71,60,4
360000,360022,-101.4103,11.1092,4.9147,1207.5521,3.8947,6.8442,51.1649,667.26,0,706
430000,430031,-101.9991,10.4105,5.7389,1130.2621,4.7577,8.4179,56.634,1950.02,687989,1660
3250000,3250012,-95.4844,59.5252,28.5678,147.8347,9.8404,16.6982,46.5697,4353.35,2651962,9121
1990000,1990022,-104.3806,14.0391,11.4927,1563.5942,9.9566,12.5057,65.5962,5746.1,568925,104
1970000,1970021,-104.0219,9.8669,4.5637,1965.3827,2.6767,6.5295,68.906,1152.04,12410,3
2240000,2240022,-104.118,5.9588,2.8603,1179.9851,3.3581,4.1156,53.0524,561.84,0,396
2260000,2260013,-90.6404,66.3349,27.0117,101.7264,14.1056,38.9543,40.9809,2594.62,125,470
3130000,3130011,-92.1313,31.848,14.1345,480.7939,8.344,17.7115,45.0469,1921.42,314,826
370000,370021,-95.282,10.9298,5.9649,1115.929,5.8749,7.2531,42.1382,1154.09,50,547
1520000,1520023,-101.923,9.2403,4.7927,1645.4067,2.6909,6.1076,68.724,393.72,0,319
1320000,1320011,-99.445,53.7917,40.4525,113.1034,24.6695,46.2073,33.9437,6884.41,68647,2232
780000,780021,-104.5669,10.0979,5.9761,1375.1436,5.4548,6.8623,62.7471,1762.48,5061,258
1740000,1740023,-104.2521,7.8419,3.0776,1583.2505,1.7601,5.6651,67.122,388.25,42293,2
2780000,2780011,-92.8232,36.903,13.4894,430.2176,7.3482,20.3779,45.8078,4540.74,187,627
2060000,2060013,-99.7595,27.0413,15.4816,230.5883,10.597,19.448,56.8161,5440,4593202,12165
1540000,1540013,-95.8352,32.6459,16.3261,802.799,7.3485,19.7589,54.9345,909.62,8475,581
1960000,1960022,-102.4153,24.8807,16.1396,1464.9215,5.6827,19.5333,68.8061,622.23,744,12
210000,210012,-97.4125,13.3516,5.1623,951.2038,1.2615,9.2582,56.0564,503.66,20683,2741
1810000,1810022,-104.8398,10.0432,5.1096,1721.1679,2.9999,7.3158,86.7843,704.81,4238,238
210000,210014,-99.6537,14.6772,6.3084,1143.5183,3.6212,8.6217,68.3521,387.91,20683,2741
2940000,2940011,-101.9831,13.8773,9.3907,1150.0111,7.6474,11.3801,60.7515,5973.5,2088,1450
1350000,1350011,-97.4125,27.3815,12.7872,1176.8632,6.7647,16.2615,69.3063,339.56,0,353
190000,190011,-98.4614,23.2207,10.3693,884.037,6.1087,13.9204,65.2078,3356.66,64,8
2160000,2160031,-103.3971,6.3306,3.6186,1850.0465,4.0974,4.2802,74.3675,1200.84,159,0
2000000,2000033,-104.8522,9.1195,4.189,1592.499,2.2048,5.2281,61.9183,701.52,85,4
700000,700022,-104.8263,13.6746,8.3932,1280.0321,5.8972,10.6202,53.0044,21869.6,21822,7
730000,730033,-101.4329,8.218,3.8931,979.316,3.4231,5.2132,53.2266,4168.53,0,3
50000,50022,-102.3075,22.3584,13.1886,1546.381,10.892,15.8762,62.1062,331.3,1266,303
2100000,2100016,-98.444,24.7067,15.6702,855.0693,11.6479,18.7955,61.6143,350.11,1419,189
